City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
125,carauari,75,BR,1581030223,70,-4.88,-66.9,80.17,1.66
126,porgera,70,PG,1581030223,89,-5.47,143.2,60.03,4.05
127,melilla,100,ES,1581030223,81,35.29,-2.94,53.6,4.7
128,chitral,0,PK,1581030223,39,35.85,71.79,1.89,9.44
129,talnakh,40,RU,1581030066,85,69.49,88.4,23.0,31.32
130,port lincoln,0,AU,1581030223,73,-34.73,135.87,70.32,11.88
131,reyes,75,BO,1581030185,83,-14.32,-67.38,80.6,11.41
132,sibu,75,MY,1581030223,94,2.3,111.82,73.4,2.24
133,nanortalik,100,GL,1581030052,62,60.14,-45.24,28.9,14.65
134,longyearbyen,75,SJ,1581030056,70,78.22,15.64,1.4,5.82
135,yangambi,12,CD,1581030224,87,0.81,24.43,70.61,0.96
136,upernavik,100,GL,1581030057,94,72.79,-56.15,-19.93,3.49
137,okhotsk,48,RU,1581030085,67,59.38,143.3,-18.85,7.34
138,itamaraju,99,BR,1581030224,91,-17.04,-39.53,72.48,1.72
139,bismarck,90,US,1581030003,92,46.81,-100.78,14.0,12.75
140,spornoye,75,RU,1581030224,92,50.84,37.29,21.2,8.95
141,tual,94,ID,1581030087,73,-5.67,132.75,83.64,5.08
142,shakawe,93,BW,1581030224,80,-18.37,21.85,69.31,3.18
143,beyneu,67,KZ,1581030089,70,45.32,55.2,42.28,9.42
144,kuusamo,10,FI,1581030224,85,65.97,29.18,12.2,9.17
145,jalu,0,LY,1581030224,61,29.03,21.55,51.3,11.61
146,vila velha,100,BR,1581030143,83,-20.33,-40.29,78.8,2.24
147,marienburg,90,PL,1581030225,93,54.04,19.03,39.99,8.05
148,nathdwara,0,IN,1581030225,33,24.93,73.82,49.96,7.87
149,ixtapa,75,MX,1581030225,57,20.7,-105.2,75.2,8.05
150,san patricio,75,MX,1581030053,69,19.22,-104.7,78.8,13.38
151,rudsar,0,IR,1581030225,40,37.14,50.29,55.36,10.04
152,fallon,1,US,1581030225,31,39.47,-118.78,60.8,13.87
153,linxia,1,CN,1581030226,53,35.6,103.21,23.72,1.74
154,ponta do sol,20,PT,1581030065,72,32.67,-17.1,62.6,3.36
155,sucre,75,BO,1581030226,76,-19.03,-65.26,55.4,3.27
156,srivardhan,3,IN,1581030226,69,18.03,73.02,63.64,5.32
157,grand gaube,20,MU,1581030226,74,-20.01,57.66,78.8,6.93
158,dingle,80,PH,1581030049,89,11.0,122.67,77.65,11.18
159,mar del plata,75,AR,1581029784,83,-38.0,-57.56,75.2,12.75
160,ekibastuz,100,KZ,1581030226,81,51.67,75.37,22.42,18.05
161,el alto,41,PE,1581030226,100,-4.27,-81.21,62.6,11.41
162,faya,0,SA,1581030083,82,18.39,42.45,57.2,5.82
163,turkistan,75,KZ,1581030226,88,43.0,68.0,38.37,9.44
164,zhigalovo,75,RU,1581030227,99,54.81,105.16,-5.73,2.24
165,thinadhoo,1,MV,1581030227,78,0.53,72.93,82.63,7.7
166,marawi,100,PH,1581030072,94,8.0,124.29,73.99,5.01
167,bethel,90,US,1581030077,100,41.37,-73.41,39.2,4.7
168,lyngseidet,40,NO,1581030227,79,69.58,20.22,28.4,17.22
169,simpang,100,ID,1581030227,95,-1.27,104.08,75.72,3.44
170,icod de los vinos,65,ES,1581030227,87,28.37,-16.71,66.99,16.11
171,oyama,37,JP,1581030227,45,36.3,139.8,34.0,2.3
172,black river,20,JM,1581030227,45,18.03,-77.85,87.8,9.17
173,isangel,93,VU,1581030087,82,-19.55,169.27,80.26,19.1
174,poum,98,NC,1581030059,80,-20.23,164.02,81.81,27.89
175,solnechnyy,100,RU,1581030227,95,50.72,136.63,-7.11,1.88
176,norman wells,90,CA,1581030048,83,65.28,-126.83,-9.4,12.75
177,ust-ilimsk,0,RU,1581030228,91,58.0,102.66,5.76,7.11
178,east london,100,ZA,1581030056,64,-33.02,27.91,69.98,8.59
179,airai,97,TL,1581030059,73,-8.93,125.41,75.63,1.95
180,liliani,0,PK,1581030228,64,32.21,72.95,45.46,3.33
181,amga,51,RU,1581030228,97,60.9,131.96,-44.03,1.14
182,liwale,99,TZ,1581030228,97,-9.77,37.93,67.55,3.0
183,thompson,20,CA,1581030024,63,55.74,-97.86,-9.4,2.24
184,provideniya,0,RU,1581030058,62,64.38,-173.3,-14.8,2.24
185,pisco,75,PE,1581030228,30,-13.7,-76.22,72.0,6.93
186,faanui,99,PF,1581030070,73,-16.48,-151.75,82.49,15.79
187,auki,100,SB,1581030228,79,-8.77,160.7,84.38,23.26
188,lorengau,100,PG,1581030066,76,-2.02,147.27,83.5,11.5
189,emborion,6,GR,1581030229,49,40.48,21.55,32.0,12.75
190,nikolskoye,90,RU,1581030067,67,59.7,30.79,23.0,15.66
191,banjar,20,ID,1581030229,94,-8.19,114.97,80.6,5.82
192,los llanos de aridane,97,ES,1581030078,72,28.66,-17.92,66.2,8.05
193,saint pete beach,75,US,1581030229,78,27.73,-82.74,80.6,28.86
194,guerrero negro,0,MX,1581030076,38,27.98,-114.06,63.05,11.59
195,alofi,75,NU,1581030229,83,-19.06,-169.92,84.2,13.87
196,moosomin,51,CA,1581030230,90,50.13,-101.67,-3.51,5.97
197,soe,69,ID,1581030230,70,-9.86,124.28,81.66,1.45
198,hirara,40,JP,1581030056,83,24.8,125.28,69.8,12.75
199,nuuk,90,GL,1581030230,79,64.18,-51.72,19.4,10.29
200,barabai,86,ID,1581030230,93,-2.58,115.38,76.33,0.58
201,kitimat,90,CA,1581030230,93,54.05,-128.65,35.6,4.7
202,chabahar,0,IR,1581030084,59,25.29,60.64,64.22,4.79
203,clyde river,1,CA,1581030050,67,70.47,-68.59,-27.4,4.7
204,waipawa,99,NZ,1581030230,63,-41.41,175.52,73.0,14.99
